sentence,sentiment,topic,is_augmented
"giảng dạy nhiệt tình , hài hước .",2,0,False
thầy chỉ dạy nhiệt tình .,2,0,False
nên trang bị rèm che cửa .,0,2,False
"Cơ sở vật chất ở trường hơi cũ, nhất là mấy cái máy chiếu, máy tính trong phòng học.",0,2,True
nắm bắt được những điều khái quát ban đầu về môn học của mình .,2,1,False
đề nghị thầy xem lại việc chấm chéo đồ án và báo cáo chéo đồ án .,0,0,False
cách thức giảng dạy chưa phù hợp lắm với sinh viên có học lực chưa tốt .,0,0,False
"giảng viên rất hòa đồng vui vẻ , nhiệt tình trong giảng dạy .",2,0,False
Cơ sở vật chất cần được cải thiện ạ.,0,2,True
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0,0,False
"Nội dung môn này quá nặng, cần nghiên cứu nhiều.",0,1,True
Sv có quá ít bài tập để luyện tập.,0,1,True
"thầy vui tính , dễ hiểu .",2,0,False
"máy chiếu phòng học quà mờ , đề nghị nên thay đổi .",0,2,False
giờ học thiếu sinh động .,0,0,False
mong trong học kỳ tới thì chất lượng giảng dạy sẽ cải thiện hơn .,0,1,False
"Nhiều phòng thực hành chưa có các phần mềm như Visual Studio, Dev, làm khó mấy bạn chưa có laptop riêng.",0,2,True
thầy không dạy chỉ đưa tài liệu tự tìm hiểu thôi .,0,0,False
rất thích nguyên tắc đúng giờ của thầy .,2,0,False
"dạy hơi nhanh , sinh viên khó theo kịp .",0,0,False
"Phòng lab nhiều máy hỏng, chuột liệt, Visual Studio bản cũ quá không hỗ trợ học tập tốt.",0,2,True
"phương pháp giảng dạy hay , hòa đồng vui tính với sinh viên .",2,0,False
trường mình rất may mắn có một người thầy như vầy .,2,0,False
"Môn này cần có thêm nhiều tài liệu, thông tin cho sv tham khảo.",0,1,True
Về cách giảng dạy của gv.,1,0,True
"thầy chỉ giảng những kiến thức có trong slide bài giảng , trong khi nội dung môn học có bài tập nhưng sinh viên không được hướng dẫn kỹ về cách làm bài .",0,0,False
"Kì tới mong trường sửa lại wifi ở phòng máy, tụi em down phần mềm khó khăn quá.",0,2,True
được giáo viên bổ túc thêm nhiều kiến thức hơn so với giáo trình .,2,0,False
cần nâng cấp phòng thực hành để có thể thực hành với nền tảng mới nhất của môn học !,0,2,False
"thầy dạy rất nhiệt tình , dễ hiểu , tận tâm .",2,0,False
đôi lúc không tiếp thu được .,0,0,False
Theo em nên bỏ phần thi lý thuyết.,0,1,True
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,2,0,False
Chất lượng cơ bản ổn nhưng cần phù hợp hơn với nhiều đối tượng sv.,0,1,True
Xin ban thiết bị xử lý các trục trặc sớm hơn.,0,2,True
môn học trang bị kiến thức tổng quát về các ngành học .,2,1,False
"em nghĩ là "" dục tốc bất đạt "" .",0,3,False
chưa truyền đạt cho rõ .,0,0,False
"thầy dạy dễ hiểu , rất hài lòng .",2,0,False
Nên nâng cấp phòng học cho tốt hơn.,0,2,True
em học thầy được nửa kỳ trước thì tự cúp qua lớp cô wzjwz218 học .,1,3,False
Kiến thức học trên lớp nhẹ hơn đề thi của trường nhiều.,0,1,True
thầy nhiệt tình trả lời câu hỏi của sinh viên đặt ra .,2,0,False
"giảng viên giảng dạy nhiệt tình , truyền đạt tốt .",2,0,False
chưa có sức thu hút .,0,0,False
thầy dạy không có tương tác nhiều .,0,0,False
chưa để ý đến sinh viên .,0,0,False
"Đề thi GK có mấy câu trắc nghiệm bị sai đáp án, gv cũng không rõ câu nào sai, phần tự luận thì lỗi đề nữa.",0,1,True
thầy rất vui tính .,2,0,False
giảng bài rất hay .,2,0,False
"cô dạy nhiệt tình , dễ hiểu , dễ thương !",2,0,False
nội dung môn học cần rõ ràng hơn nữa để biết môn học học cái gì và khả năng tiếp nhận kiến thức của sinh viên .,0,1,False
"Môn này chẳng được đi thực hành buổi nào cả, chán ghê.",0,1,True
slide cô chuẩn bị rất hay lý thuyết rất chi tiết .,2,1,False
"Lịch thực hành bị trùng với các môn lý thuyết khác, hơi bất tiện.",0,1,True
giảng viên nên tập trung vào các phần kỹ năng của sinh viên .,0,0,False
em nghĩ thầy nên cho sinh viên phân tích nhiều bài toán hơn .,0,0,False
thầy dạy rất sơ sài hầu như chỉ trong slide .,0,0,False
"Thiết bị thực hành bị hỏng nhiều do không chia cố định nhóm, nhóm sau vào là thiếu đồ.",0,2,True
"giảng viên giảng hay , dễ tiếp thu .",2,0,False
"môn mạng học ở phòng wzjwz24 , wifi ở phòng này khá yếu , xài rất chậm .",0,2,False
Điều này giúp em hình dung rõ hơn về công việc mình sẽ làm sau khi ra trường.,2,3,True
hiện tại thực hành môn này chỉ mang tính chất làm quen các thiết bị .,0,1,False
giáo viên dạy lớp wzjwz315 không phải là cô wzjwz316 .,0,0,False
Môn này cần thêm bài tập.,0,1,True
thầy dạy được cách tư duy sáng tạo .,2,0,False
hòa đồng với sinh viên .,2,0,False
cập nhật bài tập mới .,0,1,False
Thực hành Wireshark phần này hướng dẫn chưa rõ ràng.,0,1,True
thụ động trong quá trình tương tác với sinh viên .,0,0,False
cần tăng số buổi thực hành lên vì quá ít .,0,1,False
Tài liệu học bị thiếu ạ.,0,1,True
Slide bài giảng khó hiểu quá.,0,1,True
"môn thực hành cần có bài tập về nhà , tài liệu cập nhật rõ ràng hơn .",0,1,False
"Em nghĩ nên bỏ môn này, nó không liên quan đến chương trình học chính.",0,1,True
"giảng viên dễ tính , khá nhiệt tình , thân thiện .",2,0,False
thầy thường xuyên cho nghỉ trước khi kết thúc giờ học .,0,0,False
Kiến thức gv cung cấp đa số có thể tìm trên mạng.,1,0,True
cô dạy còn hơi nhanh hơi thuần lý thuyết .,0,0,False
Nội dung/quy định này có vẻ không thực tiễn lắm.,0,3,True
không nên nói là sinh viên phải nghiên cứu vấn đề này nhưng doubledot giảng viên phải cho mỗi chương khoảng 30 bài và có đáp án .,0,0,False
"thầy không hiểu nhưng với em thấy buồn cho kết quả của môn học này kết quả không phải là điểm thưa thầy , kết quả mà em muốn được là khả năng nhận thức bản thân qua môn này được thầy giảng dạy .",0,0,False
bài giảng dễ hiểu .,2,1,False
"thầy nhiệt tình , tận tâm với sinh viên .",2,0,False
"rất nhiệt tình chỉ bảo , hướng dẫn sinh viên .",2,0,False
tâm huyết và nhiệt tình với sinh viên .,2,0,False
Nên có nhiều bài tập hơn và dành riêng buổi để sửa bài trên lớp.,0,1,True
"thầy lên lớp đúng giờ , bài tập dễ hiểu , giảng dạy thoải mái ít gây nhiều áp lực cho sinh viên .",2,0,False
cho mượn kit về nhà đẻ thực hành .,0,1,False
thầy wzjwz47 nên sử dụng website môn học hoặc website phòng đào tạo là kênh thông tin đến với sinh viên .,0,0,False
lớp đã nghỉ 4 tuần liên tiếp chưa tính một vài ngày nghỉ khác .,0,0,False
thầy giảng dạy tận tâm nhiệt tình .,2,0,False
Về môn Tiếng Anh.,1,3,True
vui nhộn .,2,0,False
giảng viên có quan tâm đến những nhu cầu trong học tập của sinh viên .,2,0,False
Quạt trong phòng học hỏng hết rồi hay sao mà nóng thế.,0,2,True
nên thời gian thực hành được phân công từ tiết 1 đến tiết 3 mỗi tuần là hơi ít .,0,1,False
thầy giảng bài hấp dẫn .,2,0,False
"Cơ sở vật chất nên cải thiện phòng học, nóng bức khó chịu lắm ạ.",0,2,True
"Quạt vs máy chiếu trong phòng học cũ lắm rồi, cần nâng cấp ngay ạ.",0,2,True
bám sát chương trình .,2,1,False
"chuyên môn cao , nhiệt tình .",2,0,False
"thầy dạy tốt , dễ hiểu .",2,0,False
việc phân chia nhóm không hợp lý dẫn tới chất lượng học tập không tốt .,0,1,False
phòng lab còn chưa đáp ứng tốt .,0,2,False
nên có nhiều môn học hơn .,0,1,False
"Để tiện cho gv giảng bài và sv tiếp cận nội dung, phòng lab cần có cổng cắm loa.",0,2,True
"thầy vui tính , thương sinh viên , dạy dễ hiểu .",2,0,False
nghỉ nhiều nhưng bù ít .,0,0,False
"thầy giảng dạy hay và nhiệt huyết , luôn có nhiều bài tập sau mỗi chương .",2,0,False
"thầy dạy rất tận tâm và dễ hiểu , tuy bị mất căn bản nhập môn lập trình nhưng sau mỗi buổi học của thầy , em cảm thấy vô cùng hứng thú và có động lực hơn với môn lập trình hướng đối tượng nói riêng và những môn có liên quan đế lập trình khác nói chung .",2,0,False
"giảng viên thân thiện , nhiệt tình với sinh viên .",2,0,False
"giảng viên giảng dạy rất truyền cảm , tạo cảm giác ham học và hệ thống bài tập dồi dào phong phú .",2,0,False
Đồ họa máy tính là môn mà hình thức thực hành chiếm 1 phần.,1,1,True
"Buổi học ít quá, không đủ thời gian thực hành theo nội dung.",0,1,True
Gv nên đi dạy đúng giờ và bù đủ buổi nếu vắng.,1,0,True
giảng viên nên viết bài làm nên bảng sau khi cho sinh viên nên chữa vì chữ các sinh viên nhỏ khiến các sinh viên khác không chép được bài về học .,0,0,False
"Vì thời gian mỗi buổi học ngắn, gv nên tập trung vào những chủ đề chính, phần còn lại có thể để sv tự tìm hiểu.",0,1,True
cô rất thân thiện và nhiệt tình .,2,0,False
tiết cuối thầy ôn bài mà không cho đề mẫu cuối kỳ .,0,0,False
"Nội dung môn học hơi ít, nên mở rộng thêm.",0,1,True
bài tập đa dạng .,2,1,False
"Hạn nộp bài thực hành cứ thay đổi liên tục, làm sv khó sắp xếp.",0,1,True
Mọi thứ đều ổn.,1,3,True
"Slide môn học có mấy chỗ dịch từ tiếng Anh khó hiểu, không rõ nghĩa gì cả.",0,1,True
"Chương trình nặng lý thuyết quá, ít bài tập thực hành.",0,1,True
các hoạt động thi đua các nhóm trên lớp với nhau .,1,1,False
Gv hay điểm danh lắm.,1,0,True
"Môn này tốn 85% thời gian học nhưng bài báo cáo chỉ có 15% tổng điểm, thấy không hợp lý.",0,1,True
cần giảng kỹ hơn nữa .,0,0,False
Nên có thêm nhiều thông tin chi tiết về bài học.,0,1,True
"giáo viên tận tình , giảng dạy dễ hiểu .",2,0,False
"mà chủ yếu tập trung vào phần quản lý thao tác đã được học trong môn hệ quản trị cơ sỡ dữ liệu trong khi đó theo đề cương môn học chỉ dạy một buổi , mà giảng viên dạy nhiều buổi .",0,1,False
"mỗi buổi thực hành sinh viên chỉ có nhiệm vụ download bài tập từ courses và tự làm , giảng viên không giảng nội dung thực hành cho sinh viên hiểu , chỉ khi sinh viên hỏi thì mới trả lời , mỗi buổi học thực hành , giảng viên cần phải giới thiệu sơ về bài học , mục tiêu và kết quả sinh viên sẽ học được gì .",0,1,False
Môn học khuyến khích sv tự học và làm việc nhóm rất tốt.,2,1,True
Chẳng có nhiều bài tập bổ sung để làm.,0,1,True
Em thấy mục tiêu môn này chưa rõ ràng lắm.,0,1,True
lòng nhiệt tình .,2,0,False
cần xác định rõ mục tiêu thực tế của môn học ứng dụng vào việc gì .,0,1,False
em thấy ổn ạ .,1,3,False
cách thức truyền đạt của giáo viên .,1,0,False
Hết rồi ạ.,1,3,True
"giảng viên tận tâm , nhiệt tình , giỏi .",2,0,False
"thầy dạy rất hay , hài hước trong công việc .",2,0,False
"nên bố trí cho phòng jack cắm loa cho lab , để khi thầy phát video , hoặc thí nghiệm xử lý âm thanh ra loa , giúp sinh viên tiếp cận thí nghiệm hoặc nội dung video tốt hơn .",0,2,False
"nhiệt tình hay giúp đỡ sinh viên khi không biết , cho nhiều bài tập .",2,0,False
"Nên cho sv tài liệu thực hành sớm để nghiên cứu, chứ đến buổi mới phát thì khó mà nắm được kiến thức, chỉ làm cho xong để lấy điểm.",0,1,True
Môn học đã cung cấp nhiều kiến thức mới và bổ ích.,2,1,True
chương trình hiện tại chia tới 2 lĩnh vực trong một môn học .,1,1,False
Nội dung kiến thức có liên hệ với thực tiễn.,1,1,True
"vui vẻ với sinh viên , cung cấp tài liệu đây đủ cho môn học .",2,0,False
chưa chỉ sinh viên cách tìm thêm tài liệu để đọc thêm .,0,0,False
Mấy môn này nên có thêm thực tế để sv dễ hình dung hơn.,0,1,True
nội dung học quá ít .,0,1,False
Môn kỹ năng nên đánh giá bằng đồ án thay vì thi tự luận sẽ hợp lý hơn.,0,1,True
nhưng em chỉ không hài lòng về chương trình học theo outcome thôi ạ .,0,1,False
hầu hết là để sinh viên tự làm cũng như giao hoàn toàn cho lớp trưởng .,0,0,False
các dụng cụ thực hành không được cung cấp đầy đủ .,0,2,False
"cô nhiệt tình , giúp đỡ sinh viên , tạo không khí học tập thoải mái .",2,0,False
bài tập khó và thường không song song với lý thuyết .,0,1,False
"Môn học cần được cập nhật, có ctrinh đào tạo phù hợp hơn vs tình hình hiện tại.",0,1,True
giáo trình hợp lý .,2,1,False
Mình nghĩ nên có thêm thiết bị thực tế để sv thực hành.,0,2,True
Mong nhà trường trang bị máy móc hiện đại cho phòng thực hành.,0,2,True
"dạy rất dễ hiểu và nhiệt tình , em rất thích cách giảng dạy của cô .",2,0,False
"cần trang bị máy nghe tốt hơn , có nhiều máy nghe đã xuống cấp .",0,2,False
bài tập rất hay .,2,1,False
lý thuyết liên hệ với thực tế dễ hình dung và hiểu rõ vấn đề .,2,1,False
"Giáo trình hiện tại chưa được hay, mong có bản cập nhật chất lượng hơn.",0,1,True
"tuy nhiên , nếu được cô nên bổ sung các bài tập cá nhân về cả lý thuyết và thực hành , bên cạnh các bài tập nhóm thì sẽ giúp các bạn bổ trợ thêm kiến thức rất nhiều .",0,0,False
Mấy bài tập gv ra hay phết.,2,1,True
Nghe không rõ lắm.,0,3,True
không có hoạt động không hài lòng .,1,3,False
"thầy dạy tốt , lập nhóm thuyết trình tạo không khí học tập tốt .",2,0,False
"nhiệt tình , chu đáo , dạy dễ hiểu .",2,0,False
"giảng dạy tận tâm , hiệu quả .",2,0,False
"thầy dạy rất chi tiết , dễ hiểu và nhiệt tình .",2,0,False
cô rất có tâm với công việc giảng viên của mình .,2,0,False
mọi thứ thầy dạy rất mơ hồ .,0,0,False
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,0,0,False
"thầy giáo rất nhiệt tình trong việc hỗ trợ sinh viên , giúp sinh viên hiểu ra được các khuyết điểm đồ án học tập của các nhóm .",2,0,False
"tích cực giúp đỡ sinh viên khi gặp khúc mắc , phương pháp dạy vui , thoải mái xen kẽ chuyên sâu .",2,0,False
lòng nhiệt huyết .,2,0,False
giảng dạy không hiệu quả .,0,0,False
thầy dạy hay và tốt .,2,0,False
"Kiến thức gv giảng rất dễ hiểu, rõ ràng.",2,1,True
Việc di chuyển ra khỏi khu vực/phòng học khá khó khăn.,0,2,True
"vui tính , năng nổ , dễ dàng tiếp cận sinh viên , cách dạy có hiệu quả .",2,0,False
"không vào đúng môn học , còn quá mông lung .",0,1,False
"thầy chỉ bảo rất nhiệt tình , tận tâm , nghiêm túc nhưng thoải mái , vui vẻ , em rất thích !",2,0,False
"Mấy môn này cho điểm hơi dễ dãi, làm sv khó phấn đấu.",0,1,True
Cơ sở vật chất có phòng thực hành mà gv không mở đúng giờ thì phí quá.,0,2,True
không có nhiều tài liệu môn học được cung cấp cho sinh viên ngoài slide bài giảng của giảng viên .,0,1,False
"Học phần 4TC mà bao nhiêu kiến thức (javabeans, jsp, servlet, html, csharp) thì hơi ít ạ.",0,1,True
"Sv học 1 đằng thi 1 nẻo, mong đề thi bám sát nội dung đã học hơn.",0,1,True
gần gũi sinh viên .,2,0,False
"ít giảng bài cho sinh viên , sinh viên thắc mắc không được giải đáp cặn kẽ , rất mơ hồ .",0,0,False
giảng viên thường xuyên mang ví dụ và vấn đề thực tiễn vào bài giảng .,2,0,False
"nhiệt tình , luôn đảm bảo giờ giấc sinh hoạt ở lớp .",2,0,False
"không có lời giải đầy đủ , học sinh không biết làm là coi như không biết làm từ đâu hết cuối .",0,1,False
thầy dạy hay và bổ sung cho chúng em nhiều kiến thức khá hay .,2,0,False
"giảng viên tận tâm , tận tình .",2,0,False
cho làm debate về thực tiễn .,2,0,False
"giảng dạy hay , dễ hiểu , tận tình .",2,0,False
giảng viên cần chú ý quan sát sinh viên hơn và hỏi xem sinh viên nào chưa hiểu .,0,0,False
"Đề thi môn này quá dài, sv làm không kịp giờ.",0,1,True
tuy nhiên môn học được giảng bằng tiếng anh nên em cũng không nắm được hết nội dung thầy giảng .,0,1,False
"ít tương tác với sinh viên khi dạy , không thông báo cụ thể đồ án phải làm những gì , không thông báo ngày báo cáo cũng như hỏi han tiến độ đồ án .",0,0,False
"tiết dạy sinh động , khả năng truyền đạt cao .",2,0,False
Em không có ý kiến gì thêm.,1,3,True
Cảm giác như đang học cấp 3 vậy.,1,1,True
"thầy rất nghiêm khắc , là một người thầy rất giỏi .",2,0,False
thầy thường xuyên đặt ra các câu hỏi trên lớp giúp sinh viên dễ tiếp thu bài .,2,0,False
"thầy dạy hay , không khí vui vẻ và tận tình giải đáp mọi thắc mắc .",2,0,False
"thầy dạy hay , nhiệt tình , vui vẻ , cho đề dễ .",2,0,False
cần có tiết học với giảng viên nước ngoài .,0,0,False
"mong thầy dạy bám theo thi nhiều hơn , sửa bài tập trên lớp nhiều hơn .",0,0,False
phong cách dạy tốt .,2,0,False
hơn là những thuật toán của những môn trước .,1,1,False
Kiến thức trên lớp thì vận dụng cũng dễ thôi.,1,3,True
"Mong thầy cô xây dựng giáo trình, tài liệu môn học rõ ràng hơn.",0,1,True
có những hoạt động giúp giờ học sinh động .,2,0,False
"hướng dẫn thực hành chưa tận tình , thời gian còn ít .",0,0,False
Thấy môn này không cần phải đến lớp học.,0,3,True
giảng viên nên đưa ra nhiều ví dụ minh họa hơn .,0,0,False
tuy nhiên ước gì cô giải nhiều bài tập hơn ở cuối kỳ .,0,0,False
"giảng viên dạy tận tình dễ hiểu , đầy đủ kiến thức và hiệu quả trong giảng dạy .",2,0,False
Nên giảm bớt sĩ số sv trong mỗi lớp học.,0,1,True
"chương trình học không mang lại hiệu quả , chỉ mang tính chất đối phó , sinh viên không học hỏi và có thêm kinh nghiệm nhiều khi đi học thực hành .",0,1,False
"dạy chậm kết hợp với bài tập , ví dụ .",2,0,False
"Phòng học nóng quá, không khí ngột ngạt lắm.",0,2,True
"Phòng thực hành, phòng lab cần trang bị thêm thiết bị để sv được học và thực hành trực tiếp.",0,2,True
thời gian bài tập tương đối tốt .,2,1,False
"Trường nên trang bị tai nghe ở phòng máy cho sv học Anh văn, tiện cho việc luyện nghe.",0,2,True
"dạy khá nâng cao , cần phát huy để sinh viên có cơ hội được học thêm nhiều hơn .",2,0,False
rất thích phương pháp giảng dạy của thầy .,2,0,False
Cần tăng thêm thời gian học cho môn này.,0,1,True
Tài liệu trên moodle đầy đủ và được cập nhật liên tục.,2,1,True
"em có ý kiến về giáo viên bộ môn anh văn 2 trong học kỳ này của em như sau doubledot giảng viên giảng dạy rất kém chất lượng , trình độ phát âm cực kém , giống như giáo viên dạy cấp 2 !",0,0,False
dạy chậm .,0,0,False
"Mong các phòng học được dọn dẹp thường xuyên, hiện tại chưa được sạch lắm.",0,2,True
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",2,0,False
chưa bao giờ có ý định nghỉ tiết của thầy ( trừ trường hợp ngủ quên colonbigsmile ) .,2,0,False
"Slide hướng dẫn dễ hiểu, hữu ích lắm.",2,1,True
tốt và nhiệt tình trong giảng bài .,2,0,False
"Phòng học bài tập, cái lau bảng bẩn kinh khủng, xóa mãi không sạch, làm sv khó nhìn bài.",0,2,True
Em học môn Phân tích thiết kế với cô wzjwz276.,1,0,True
"anh văn ở đại học không thể dạy giống như cấp 3 được khi cô dạy lớp im không sôi nổi , chỉ có vài người giơ tay vì câu hỏi không mang tính tương tác , câu trả lời có sẵn trong bài chỉ cần đọc lên nên nhiều người chán không giơ tay , đi học chỉ để điểm danh .",0,1,False
nên cho chơi trò chơi về anh văn thật nhiều để có hứng thú nhiều hơn nữa .,0,0,False
"Bài giảng rất sinh động, dễ tiếp thu.",2,1,True
